ID,Status Bancario,Duracion del Credito,Historial Crediticio,Proposito del Credito,Monto Solicitado,Ahorro,Antiguedad Empleo,Tasa de pago,Sexo y Estado Civil,Deudores o Avales,Tiempo de Residencia,Propiedad,Edad,Otros pagos,Alojamiento,Credito Otorgados,Tipo de Empleo,Personas Responsables,Telefono,Extranjero
508,0 <= ... <200 DM,15,all credits at this bank paid back duly,car (new),6850,100 <= ... <500 DM,unemployed,1,single,none,2,building society savings agreement,34,none,own,1,management/ self-employed,2,"yes, registered under the customers name",yes
509,no checking account,24,existing credits paid back duly till now,radio/television,1413,... <100 DM,1<= ... < 4 years,4,married/widowed,none,2,building society savings agreement,28,none,own,1,skilled employee / official,1,none,yes
510,no checking account,39,existing credits paid back duly till now,car (used),8588,100 <= ... <500 DM,.. >= 7 years,4,single,none,2,"car or other, not in attribute 6",45,none,own,1,management/ self-employed,1,"yes, registered under the customers name",yes
511,... <0 DM,12,existing credits paid back duly till now,car (new),759,... <100 DM,4<= ... < 7 years,4,single,none,2,real estate,26,none,own,1,skilled employee / official,1,none,yes
512,no checking account,36,existing credits paid back duly till now,car (used),4686,... <100 DM,1<= ... < 4 years,2,single,none,2,unknown / no property,32,none,for free,1,management/ self-employed,1,"yes, registered under the customers name",yes
513,... >= 200 DM ,15,existing credits paid back duly till now,business,2687,... <100 DM,4<= ... < 7 years,2,single,none,4,building society savings agreement,26,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes
514,0 <= ... <200 DM,12,delay in paying off in the past,radio/television,585,... <100 DM,1<= ... < 4 years,4,married/widowed,co-applicant,4,real estate,20,none,rent,2,skilled employee / official,1,none,yes
515,no checking account,24,existing credits paid back duly till now,car (new),2255,unknown/ no savings account,... < 1 year,4,single,none,1,building society savings agreement,54,none,own,1,skilled employee / official,1,none,yes
516,... <0 DM,6,critical account,car (new),609,... <100 DM,4<= ... < 7 years,4,divorced/separated/married,none,3,building society savings agreement,37,none,own,2,skilled employee / official,1,none,no
517,... <0 DM,6,critical account,car (new),1361,... <100 DM,... < 1 year,2,single,none,4,real estate,40,none,own,1,unskilled - resident,2,none,no
518,no checking account,36,critical account,furniture/equipment,7127,... <100 DM,... < 1 year,2,divorced/separated/married,none,4,building society savings agreement,23,none,rent,2,skilled employee / official,1,"yes, registered under the customers name",yes
519,... <0 DM,6,existing credits paid back duly till now,car (new),1203,100 <= ... <500 DM,.. >= 7 years,3,single,none,2,building society savings agreement,43,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
520,no checking account,6,critical account,radio/television,700,unknown/ no savings account,.. >= 7 years,4,single,none,4,unknown / no property,36,none,for free,2,skilled employee / official,1,none,yes
521,no checking account,24,critical account,repairs,5507,... <100 DM,.. >= 7 years,3,single,none,4,unknown / no property,44,none,for free,2,skilled employee / official,1,none,yes
522,... <0 DM,18,existing credits paid back duly till now,radio/television,3190,... <100 DM,1<= ... < 4 years,2,divorced/separated/married,none,2,real estate,24,none,own,1,skilled employee / official,1,none,yes
523,... <0 DM,48,no credits taken,furniture/equipment,7119,... <100 DM,1<= ... < 4 years,3,single,none,4,unknown / no property,53,none,for free,2,skilled employee / official,2,none,yes
524,no checking account,24,existing credits paid back duly till now,car (used),3488,100 <= ... <500 DM,4<= ... < 7 years,3,divorced/separated/married,none,4,"car or other, not in attribute 6",23,none,own,1,skilled employee / official,1,none,yes
525,0 <= ... <200 DM,18,existing credits paid back duly till now,radio/television,1113,... <100 DM,1<= ... < 4 years,4,divorced/separated/married,guarantor,4,real estate,26,none,own,1,unskilled - resident,2,none,yes
526,0 <= ... <200 DM,26,existing credits paid back duly till now,car (used),7966,... <100 DM,... < 1 year,2,single,none,3,"car or other, not in attribute 6",30,none,own,2,skilled employee / official,1,none,yes
527,no checking account,15,critical account,education,1532,100 <= ... <500 DM,1<= ... < 4 years,4,divorced/separated/married,none,3,"car or other, not in attribute 6",31,none,own,1,skilled employee / official,1,none,yes
528,no checking account,4,critical account,radio/television,1503,... <100 DM,4<= ... < 7 years,2,single,none,1,real estate,42,none,own,2,unskilled - resident,2,none,yes
529,... <0 DM,36,existing credits paid back duly till now,radio/television,2302,... <100 DM,1<= ... < 4 years,4,divorced/separated,none,4,"car or other, not in attribute 6",31,none,rent,1,skilled employee / official,1,none,yes
530,... <0 DM,6,existing credits paid back duly till now,car (new),662,... <100 DM,... < 1 year,3,single,none,4,real estate,41,none,own,1,unskilled - resident,2,"yes, registered under the customers name",yes
531,0 <= ... <200 DM,36,existing credits paid back duly till now,education,2273,... <100 DM,4<= ... < 7 years,3,single,none,1,"car or other, not in attribute 6",32,none,own,2,skilled employee / official,2,none,yes
532,0 <= ... <200 DM,15,existing credits paid back duly till now,car (new),2631,100 <= ... <500 DM,1<= ... < 4 years,2,divorced/separated/married,none,4,"car or other, not in attribute 6",28,none,rent,2,skilled employee / official,1,"yes, registered under the customers name",yes
533,no checking account,12,delay in paying off in the past,car (used),1503,... <100 DM,1<= ... < 4 years,4,married/widowed,none,4,real estate,41,none,rent,1,skilled employee / official,1,none,yes
534,no checking account,24,existing credits paid back duly till now,radio/television,1311,100 <= ... <500 DM,4<= ... < 7 years,4,married/widowed,none,3,building society savings agreement,26,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
535,no checking account,24,existing credits paid back duly till now,radio/television,3105,unknown/ no savings account,... < 1 year,4,single,none,2,"car or other, not in attribute 6",25,none,own,2,skilled employee / official,1,none,yes
536,... >= 200 DM ,21,critical account,education,2319,... <100 DM,... < 1 year,2,divorced/separated,none,1,"car or other, not in attribute 6",33,none,rent,1,skilled employee / official,1,none,yes
537,... <0 DM,6,existing credits paid back duly till now,car (new),1374,unknown/ no savings account,unemployed,4,divorced/separated/married,none,3,building society savings agreement,75,none,own,1,management/ self-employed,1,"yes, registered under the customers name",yes
538,0 <= ... <200 DM,18,critical account,furniture/equipment,3612,... <100 DM,.. >= 7 years,3,divorced/separated/married,none,4,building society savings agreement,37,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
539,... <0 DM,48,existing credits paid back duly till now,car (new),7763,... <100 DM,.. >= 7 years,4,single,none,4,unknown / no property,42,bank,for free,1,management/ self-employed,1,none,yes
540,... >= 200 DM ,18,existing credits paid back duly till now,furniture/equipment,3049,... <100 DM,... < 1 year,1,divorced/separated/married,none,1,building society savings agreement,45,stores,own,1,unskilled - resident,1,none,yes
541,0 <= ... <200 DM,12,existing credits paid back duly till now,radio/television,1534,... <100 DM,... < 1 year,1,married/widowed,none,1,real estate,23,none,rent,1,skilled employee / official,1,none,yes
542,no checking account,24,delay in paying off in the past,car (new),2032,... <100 DM,.. >= 7 years,4,single,none,4,unknown / no property,60,none,for free,2,skilled employee / official,1,"yes, registered under the customers name",yes
543,... <0 DM,30,existing credits paid back duly till now,furniture/equipment,6350,unknown/ no savings account,.. >= 7 years,4,single,none,4,building society savings agreement,31,none,own,1,skilled employee / official,1,none,yes
544,... >= 200 DM ,18,existing credits paid back duly till now,furniture/equipment,2864,... <100 DM,1<= ... < 4 years,2,single,none,1,real estate,34,none,own,1,unskilled - resident,2,none,yes
545,no checking account,12,critical account,car (new),1255,... <100 DM,.. >= 7 years,4,single,none,4,real estate,61,none,own,2,unskilled - resident,1,none,yes
546,... <0 DM,24,delay in paying off in the past,car (new),1333,... <100 DM,unemployed,4,single,none,2,real estate,43,none,for free,2,skilled employee / official,2,none,yes
547,no checking account,24,critical account,car (new),2022,... <100 DM,1<= ... < 4 years,4,divorced/separated/married,none,4,"car or other, not in attribute 6",37,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
548,no checking account,24,existing credits paid back duly till now,radio/television,1552,... <100 DM,4<= ... < 7 years,3,single,none,1,"car or other, not in attribute 6",32,bank,own,1,skilled employee / official,2,none,yes
549,... <0 DM,12,all credits at this bank paid back duly,radio/television,626,... <100 DM,1<= ... < 4 years,4,divorced/separated/married,none,4,real estate,24,bank,own,1,unskilled - resident,1,none,yes
550,no checking account,48,critical account,car (used),8858,unknown/ no savings account,4<= ... < 7 years,2,single,none,1,unknown / no property,35,none,for free,2,skilled employee / official,1,"yes, registered under the customers name",yes
551,no checking account,12,critical account,repairs,996,unknown/ no savings account,4<= ... < 7 years,4,divorced/separated/married,none,4,real estate,23,none,own,2,skilled employee / official,1,none,yes
552,no checking account,6,all credits at this bank paid back duly,radio/television,1750,500 <= ... < 1000 DM,.. >= 7 years,2,single,none,4,building society savings agreement,45,bank,own,1,unskilled - resident,2,none,yes
553,... <0 DM,48,existing credits paid back duly till now,radio/television,6999,... <100 DM,4<= ... < 7 years,1,married/widowed,guarantor,1,real estate,34,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes
554,0 <= ... <200 DM,12,critical account,car (new),1995,100 <= ... <500 DM,... < 1 year,4,single,none,1,"car or other, not in attribute 6",27,none,own,1,skilled employee / official,1,none,yes
555,0 <= ... <200 DM,9,existing credits paid back duly till now,education,1199,... <100 DM,4<= ... < 7 years,4,divorced/separated/married,none,4,building society savings agreement,67,none,own,2,management/ self-employed,1,"yes, registered under the customers name",yes
556,0 <= ... <200 DM,12,existing credits paid back duly till now,radio/television,1331,... <100 DM,... < 1 year,2,single,none,1,"car or other, not in attribute 6",22,stores,own,1,skilled employee / official,1,none,yes
557,0 <= ... <200 DM,18,no credits taken,car (new),2278,100 <= ... <500 DM,... < 1 year,3,divorced/separated/married,none,3,"car or other, not in attribute 6",28,none,own,2,skilled employee / official,1,none,yes
558,no checking account,21,no credits taken,car (new),5003,unknown/ no savings account,1<= ... < 4 years,1,divorced/separated/married,none,4,building society savings agreement,29,bank,own,2,skilled employee / official,1,"yes, registered under the customers name",yes
559,... <0 DM,24,all credits at this bank paid back duly,furniture/equipment,3552,... <100 DM,4<= ... < 7 years,3,single,none,4,"car or other, not in attribute 6",27,bank,own,1,skilled employee / official,1,none,yes
560,0 <= ... <200 DM,18,critical account,furniture/equipment,1928,... <100 DM,... < 1 year,2,single,none,2,real estate,31,none,own,2,unskilled - resident,1,none,yes
561,... <0 DM,24,existing credits paid back duly till now,car (used),2964,unknown/ no savings account,.. >= 7 years,4,single,none,4,unknown / no property,49,bank,for free,1,skilled employee / official,2,"yes, registered under the customers name",yes
562,... <0 DM,24,all credits at this bank paid back duly,radio/television,1546,... <100 DM,4<= ... < 7 years,4,single,guarantor,4,"car or other, not in attribute 6",24,bank,rent,1,unskilled - resident,1,none,yes
563,... >= 200 DM ,6,delay in paying off in the past,radio/television,683,... <100 DM,... < 1 year,2,divorced/separated/married,none,1,building society savings agreement,29,bank,own,1,skilled employee / official,1,none,yes
564,0 <= ... <200 DM,36,existing credits paid back duly till now,car (new),12389,unknown/ no savings account,1<= ... < 4 years,1,single,none,4,unknown / no property,37,none,for free,1,skilled employee / official,1,"yes, registered under the customers name",yes
565,0 <= ... <200 DM,24,delay in paying off in the past,business,4712,unknown/ no savings account,1<= ... < 4 years,4,single,none,2,building society savings agreement,37,bank,own,2,management/ self-employed,1,"yes, registered under the customers name",yes
566,0 <= ... <200 DM,24,delay in paying off in the past,radio/television,1553,100 <= ... <500 DM,4<= ... < 7 years,3,divorced/separated/married,none,2,building society savings agreement,23,none,rent,2,skilled employee / official,1,"yes, registered under the customers name",yes
567,... <0 DM,12,existing credits paid back duly till now,car (new),1372,... <100 DM,4<= ... < 7 years,2,divorced/separated,none,3,"car or other, not in attribute 6",36,none,own,1,skilled employee / official,1,none,yes
568,no checking account,24,critical account,radio/television,2578,.. >= 1000 DM,.. >= 7 years,2,single,none,2,"car or other, not in attribute 6",34,none,own,1,skilled employee / official,1,none,yes
569,0 <= ... <200 DM,48,existing credits paid back duly till now,radio/television,3979,unknown/ no savings account,4<= ... < 7 years,4,single,none,1,"car or other, not in attribute 6",41,none,own,2,skilled employee / official,2,"yes, registered under the customers name",yes
570,... <0 DM,48,existing credits paid back duly till now,radio/television,6758,... <100 DM,1<= ... < 4 years,3,divorced/separated/married,none,2,"car or other, not in attribute 6",31,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
571,... <0 DM,24,existing credits paid back duly till now,furniture/equipment,3234,... <100 DM,... < 1 year,4,divorced/separated/married,none,4,real estate,23,none,rent,1,unskilled - resident,1,"yes, registered under the customers name",yes
572,no checking account,30,critical account,radio/television,5954,... <100 DM,4<= ... < 7 years,3,single,co-applicant,2,"car or other, not in attribute 6",38,none,own,1,skilled employee / official,1,none,yes
573,no checking account,24,existing credits paid back duly till now,car (used),5433,unknown/ no savings account,unemployed,2,divorced/separated/married,none,4,building society savings agreement,26,none,rent,1,management/ self-employed,1,"yes, registered under the customers name",yes
574,... <0 DM,15,existing credits paid back duly till now,business,806,... <100 DM,1<= ... < 4 years,4,divorced/separated/married,none,4,building society savings agreement,22,none,own,1,unskilled - resident,1,none,yes
575,0 <= ... <200 DM,9,existing credits paid back duly till now,radio/television,1082,... <100 DM,.. >= 7 years,4,single,none,4,"car or other, not in attribute 6",27,none,own,2,unskilled - resident,1,none,yes
576,no checking account,15,critical account,furniture/equipment,2788,... <100 DM,4<= ... < 7 years,2,divorced/separated/married,co-applicant,3,"car or other, not in attribute 6",24,bank,own,2,skilled employee / official,1,none,yes
577,0 <= ... <200 DM,12,existing credits paid back duly till now,radio/television,2930,... <100 DM,4<= ... < 7 years,2,divorced/separated/married,none,1,real estate,27,none,own,1,skilled employee / official,1,none,yes
578,no checking account,24,critical account,education,1927,unknown/ no savings account,1<= ... < 4 years,3,divorced/separated/married,none,2,"car or other, not in attribute 6",33,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes
579,0 <= ... <200 DM,36,critical account,car (new),2820,... <100 DM,... < 1 year,4,divorced/separated,none,4,"car or other, not in attribute 6",27,none,own,2,skilled employee / official,1,none,yes
580,no checking account,24,existing credits paid back duly till now,retraining,937,... <100 DM,... < 1 year,4,married/widowed,none,3,"car or other, not in attribute 6",27,none,own,2,unskilled - resident,1,none,yes
581,0 <= ... <200 DM,18,critical account,car (new),1056,... <100 DM,.. >= 7 years,3,single,guarantor,3,real estate,30,bank,own,2,skilled employee / official,1,none,yes
582,0 <= ... <200 DM,12,critical account,car (new),3124,... <100 DM,... < 1 year,1,single,none,3,real estate,49,bank,own,2,unskilled - resident,2,none,yes
583,no checking account,9,existing credits paid back duly till now,furniture/equipment,1388,... <100 DM,1<= ... < 4 years,4,divorced/separated/married,none,2,real estate,26,none,rent,1,skilled employee / official,1,none,yes
584,0 <= ... <200 DM,36,existing credits paid back duly till now,repairs,2384,... <100 DM,... < 1 year,4,single,none,1,unknown / no property,33,none,rent,1,unskilled - resident,1,none,yes
585,no checking account,12,existing credits paid back duly till now,car (new),2133,unknown/ no savings account,.. >= 7 years,4,divorced/separated/married,none,4,unknown / no property,52,none,for free,1,management/ self-employed,1,"yes, registered under the customers name",yes
586,... <0 DM,18,existing credits paid back duly till now,furniture/equipment,2039,... <100 DM,1<= ... < 4 years,1,divorced/separated/married,none,4,real estate,20,bank,rent,1,skilled employee / official,1,none,yes
587,... <0 DM,9,critical account,car (new),2799,... <100 DM,1<= ... < 4 years,2,single,none,2,real estate,36,none,rent,2,skilled employee / official,2,none,yes
588,... <0 DM,12,existing credits paid back duly till now,furniture/equipment,1289,... <100 DM,1<= ... < 4 years,4,single,guarantor,1,building society savings agreement,21,none,own,1,unskilled - resident,1,none,yes
589,... <0 DM,18,existing credits paid back duly till now,domestic appliances,1217,... <100 DM,1<= ... < 4 years,4,married/widowed,none,3,real estate,47,none,own,1,unskilled - resident,1,"yes, registered under the customers name",yes
590,... <0 DM,12,critical account,furniture/equipment,2246,... <100 DM,.. >= 7 years,3,single,none,3,building society savings agreement,60,none,own,2,skilled employee / official,1,none,yes
591,... <0 DM,12,critical account,radio/television,385,... <100 DM,4<= ... < 7 years,4,divorced/separated/married,none,3,real estate,58,none,own,4,unskilled - resident,1,"yes, registered under the customers name",yes
592,0 <= ... <200 DM,24,delay in paying off in the past,car (new),1965,unknown/ no savings account,1<= ... < 4 years,4,divorced/separated/married,none,4,"car or other, not in attribute 6",42,none,rent,2,skilled employee / official,1,"yes, registered under the customers name",yes
593,no checking account,21,existing credits paid back duly till now,business,1572,.. >= 1000 DM,.. >= 7 years,4,divorced/separated/married,none,4,real estate,36,bank,own,1,unskilled - resident,1,none,yes
594,0 <= ... <200 DM,24,existing credits paid back duly till now,car (new),2718,... <100 DM,1<= ... < 4 years,3,divorced/separated/married,none,4,building society savings agreement,20,none,rent,1,unskilled - resident,1,"yes, registered under the customers name",yes
595,... <0 DM,24,all credits at this bank paid back duly,others,1358,unknown/ no savings account,.. >= 7 years,4,single,none,3,"car or other, not in attribute 6",40,stores,own,1,management/ self-employed,1,"yes, registered under the customers name",yes
596,0 <= ... <200 DM,6,all credits at this bank paid back duly,car (new),931,100 <= ... <500 DM,... < 1 year,1,divorced/separated/married,none,1,building society savings agreement,32,stores,own,1,unskilled - resident,1,none,yes
597,... <0 DM,24,existing credits paid back duly till now,car (new),1442,... <100 DM,4<= ... < 7 years,4,divorced/separated/married,none,4,"car or other, not in attribute 6",23,none,rent,2,skilled employee / official,1,none,yes
598,0 <= ... <200 DM,24,no credits taken,business,4241,... <100 DM,1<= ... < 4 years,1,single,none,4,real estate,36,none,own,3,unskilled - resident,1,"yes, registered under the customers name",yes
599,no checking account,18,critical account,car (new),2775,... <100 DM,4<= ... < 7 years,2,single,none,2,building society savings agreement,31,bank,own,2,skilled employee / official,1,none,yes
600,no checking account,24,delay in paying off in the past,business,3863,... <100 DM,1<= ... < 4 years,1,single,none,2,unknown / no property,32,none,for free,1,skilled employee / official,1,none,yes
601,0 <= ... <200 DM,7,existing credits paid back duly till now,radio/television,2329,... <100 DM,... < 1 year,1,divorced/separated/married,guarantor,1,real estate,45,none,own,1,skilled employee / official,1,none,yes
602,0 <= ... <200 DM,9,existing credits paid back duly till now,furniture/equipment,918,... <100 DM,1<= ... < 4 years,4,divorced/separated/married,none,1,building society savings agreement,30,none,own,1,skilled employee / official,1,none,yes
603,0 <= ... <200 DM,24,all credits at this bank paid back duly,education,1837,... <100 DM,4<= ... < 7 years,4,divorced/separated/married,none,4,unknown / no property,34,bank,for free,1,unskilled - resident,1,none,yes
604,no checking account,36,existing credits paid back duly till now,furniture/equipment,3349,... <100 DM,1<= ... < 4 years,4,divorced/separated/married,none,2,"car or other, not in attribute 6",28,none,own,1,management/ self-employed,1,"yes, registered under the customers name",yes
605,... >= 200 DM ,10,existing credits paid back duly till now,furniture/equipment,1275,... <100 DM,... < 1 year,4,divorced/separated/married,none,2,building society savings agreement,23,none,own,1,skilled employee / official,1,none,yes
606,... <0 DM,24,all credits at this bank paid back duly,furniture/equipment,2828,500 <= ... < 1000 DM,1<= ... < 4 years,4,single,none,4,real estate,22,stores,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
607,no checking account,24,critical account,business,4526,... <100 DM,1<= ... < 4 years,3,single,none,2,real estate,74,none,own,1,management/ self-employed,1,"yes, registered under the customers name",yes
608,0 <= ... <200 DM,36,existing credits paid back duly till now,radio/television,2671,100 <= ... <500 DM,1<= ... < 4 years,4,divorced/separated/married,co-applicant,4,unknown / no property,50,none,for free,1,skilled employee / official,1,none,yes
609,no checking account,18,existing credits paid back duly till now,radio/television,2051,... <100 DM,... < 1 year,4,single,none,1,real estate,33,none,own,1,skilled employee / official,1,none,yes
610,no checking account,15,existing credits paid back duly till now,car (used),1300,unknown/ no savings account,.. >= 7 years,4,single,none,4,unknown / no property,45,bank,for free,1,skilled employee / official,2,none,yes
611,... <0 DM,12,existing credits paid back duly till now,domestic appliances,741,100 <= ... <500 DM,unemployed,4,divorced/separated/married,none,3,building society savings agreement,22,none,own,1,skilled employee / official,1,none,yes
612,... >= 200 DM ,10,existing credits paid back duly till now,car (new),1240,100 <= ... <500 DM,.. >= 7 years,1,divorced/separated/married,none,4,unknown / no property,48,none,for free,1,unskilled - resident,2,none,yes
613,... <0 DM,21,existing credits paid back duly till now,radio/television,3357,.. >= 1000 DM,... < 1 year,4,divorced/separated/married,none,2,"car or other, not in attribute 6",29,bank,own,1,skilled employee / official,1,none,yes
614,... <0 DM,24,all credits at this bank paid back duly,car (used),3632,... <100 DM,1<= ... < 4 years,1,divorced/separated/married,guarantor,4,"car or other, not in attribute 6",22,bank,rent,1,skilled employee / official,1,none,no
615,no checking account,18,delay in paying off in the past,furniture/equipment,1808,... <100 DM,4<= ... < 7 years,4,divorced/separated/married,none,1,real estate,22,none,own,1,skilled employee / official,1,none,yes
616,0 <= ... <200 DM,48,no credits taken,business,12204,unknown/ no savings account,1<= ... < 4 years,2,single,none,2,"car or other, not in attribute 6",48,bank,own,1,management/ self-employed,1,"yes, registered under the customers name",yes
617,0 <= ... <200 DM,60,delay in paying off in the past,radio/television,9157,unknown/ no savings account,1<= ... < 4 years,2,single,none,2,unknown / no property,27,none,for free,1,management/ self-employed,1,none,yes
618,... <0 DM,6,critical account,car (new),3676,... <100 DM,1<= ... < 4 years,1,single,none,3,real estate,37,none,rent,3,skilled employee / official,2,none,yes
619,0 <= ... <200 DM,30,existing credits paid back duly till now,furniture/equipment,3441,100 <= ... <500 DM,1<= ... < 4 years,2,divorced/separated/married,co-applicant,4,"car or other, not in attribute 6",21,none,rent,1,skilled employee / official,1,none,yes
620,no checking account,12,existing credits paid back duly till now,car (new),640,... <100 DM,1<= ... < 4 years,4,divorced/separated,none,2,real estate,49,none,own,1,unskilled - resident,1,none,yes
621,0 <= ... <200 DM,21,critical account,business,3652,... <100 DM,4<= ... < 7 years,2,single,none,3,building society savings agreement,27,none,own,2,skilled employee / official,1,none,yes
622,no checking account,18,critical account,car (new),1530,... <100 DM,1<= ... < 4 years,3,single,none,2,building society savings agreement,32,bank,own,2,skilled employee / official,1,none,yes
623,no checking account,48,existing credits paid back duly till now,business,3914,unknown/ no savings account,1<= ... < 4 years,4,divorced/separated,none,2,real estate,38,bank,own,1,skilled employee / official,1,none,yes
624,... <0 DM,12,existing credits paid back duly till now,furniture/equipment,1858,... <100 DM,... < 1 year,4,divorced/separated/married,none,1,"car or other, not in attribute 6",22,none,rent,1,skilled employee / official,1,none,yes
625,... <0 DM,18,existing credits paid back duly till now,radio/television,2600,... <100 DM,1<= ... < 4 years,4,single,none,4,unknown / no property,65,none,for free,2,skilled employee / official,1,none,yes
626,no checking account,15,existing credits paid back duly till now,radio/television,1979,unknown/ no savings account,.. >= 7 years,4,single,none,2,"car or other, not in attribute 6",35,none,own,1,skilled employee / official,1,none,yes
627,... >= 200 DM ,6,existing credits paid back duly till now,furniture/equipment,2116,... <100 DM,1<= ... < 4 years,2,single,none,2,real estate,41,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
628,0 <= ... <200 DM,9,all credits at this bank paid back duly,car (new),1437,100 <= ... <500 DM,4<= ... < 7 years,2,single,none,3,unknown / no property,29,none,own,1,skilled employee / official,1,none,yes
629,no checking account,42,critical account,furniture/equipment,4042,500 <= ... < 1000 DM,1<= ... < 4 years,4,single,none,4,real estate,36,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes
630,no checking account,9,existing credits paid back duly till now,education,3832,unknown/ no savings account,.. >= 7 years,1,single,none,4,real estate,64,none,own,1,unskilled - resident,1,none,yes
631,... <0 DM,24,existing credits paid back duly till now,radio/television,3660,... <100 DM,1<= ... < 4 years,2,divorced/separated/married,none,4,"car or other, not in attribute 6",28,none,own,1,skilled employee / official,1,none,yes
632,... <0 DM,18,all credits at this bank paid back duly,furniture/equipment,1553,... <100 DM,1<= ... < 4 years,4,single,none,3,"car or other, not in attribute 6",44,bank,own,1,skilled employee / official,1,none,yes
633,0 <= ... <200 DM,15,existing credits paid back duly till now,radio/television,1444,unknown/ no savings account,... < 1 year,4,single,none,1,building society savings agreement,23,none,own,1,skilled employee / official,1,none,yes
634,no checking account,9,existing credits paid back duly till now,furniture/equipment,1980,... <100 DM,... < 1 year,2,divorced/separated/married,co-applicant,2,"car or other, not in attribute 6",19,none,rent,2,skilled employee / official,1,none,yes
635,0 <= ... <200 DM,24,existing credits paid back duly till now,car (new),1355,... <100 DM,... < 1 year,3,divorced/separated/married,none,4,"car or other, not in attribute 6",25,none,own,1,unskilled - resident,1,"yes, registered under the customers name",yes
636,no checking account,12,existing credits paid back duly till now,education,1393,... <100 DM,.. >= 7 years,4,single,none,4,building society savings agreement,47,bank,own,3,skilled employee / official,2,"yes, registered under the customers name",yes
637,no checking account,24,existing credits paid back duly till now,radio/television,1376,500 <= ... < 1000 DM,4<= ... < 7 years,4,divorced/separated/married,none,1,"car or other, not in attribute 6",28,none,own,1,skilled employee / official,1,none,yes
638,no checking account,60,delay in paying off in the past,radio/television,15653,... <100 DM,4<= ... < 7 years,2,single,none,4,"car or other, not in attribute 6",21,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes
639,no checking account,12,existing credits paid back duly till now,radio/television,1493,... <100 DM,... < 1 year,4,divorced/separated/married,none,3,"car or other, not in attribute 6",34,none,own,1,skilled employee / official,2,none,yes
640,... <0 DM,42,delay in paying off in the past,radio/television,4370,... <100 DM,4<= ... < 7 years,3,single,none,2,building society savings agreement,26,bank,own,2,skilled employee / official,2,"yes, registered under the customers name",yes
641,... <0 DM,18,existing credits paid back duly till now,education,750,... <100 DM,unemployed,4,divorced/separated/married,none,1,real estate,27,none,own,1,unemployed/ unskilled- non-resident,1,none,yes
642,0 <= ... <200 DM,15,existing credits paid back duly till now,repairs,1308,... <100 DM,.. >= 7 years,4,single,none,4,"car or other, not in attribute 6",38,none,own,2,unskilled - resident,1,none,yes
643,no checking account,15,existing credits paid back duly till now,education,4623,100 <= ... <500 DM,1<= ... < 4 years,3,single,none,2,building society savings agreement,40,none,own,1,management/ self-employed,1,"yes, registered under the customers name",yes
644,no checking account,24,critical account,radio/television,1851,... <100 DM,4<= ... < 7 years,4,married/widowed,guarantor,2,"car or other, not in attribute 6",33,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes
645,... <0 DM,18,critical account,radio/television,1880,... <100 DM,4<= ... < 7 years,4,married/widowed,none,1,building society savings agreement,32,none,own,2,management/ self-employed,1,"yes, registered under the customers name",yes
646,no checking account,36,delay in paying off in the past,business,7980,unknown/ no savings account,... < 1 year,4,single,none,4,"car or other, not in attribute 6",27,none,rent,2,skilled employee / official,1,"yes, registered under the customers name",yes
647,... <0 DM,30,no credits taken,furniture/equipment,4583,... <100 DM,1<= ... < 4 years,2,divorced/separated,guarantor,2,real estate,32,none,own,2,skilled employee / official,1,none,yes
648,no checking account,12,existing credits paid back duly till now,car (new),1386,500 <= ... < 1000 DM,1<= ... < 4 years,2,divorced/separated/married,none,2,building society savings agreement,26,none,own,1,skilled employee / official,1,none,yes
649,... >= 200 DM ,24,existing credits paid back duly till now,car (new),947,... <100 DM,4<= ... < 7 years,4,single,none,3,unknown / no property,38,bank,for free,1,skilled employee / official,2,none,yes
650,... <0 DM,12,existing credits paid back duly till now,education,684,... <100 DM,1<= ... < 4 years,4,single,none,4,"car or other, not in attribute 6",40,none,rent,1,unskilled - resident,2,none,yes
651,... <0 DM,48,existing credits paid back duly till now,education,7476,... <100 DM,4<= ... < 7 years,4,single,none,1,unknown / no property,50,none,for free,1,management/ self-employed,1,"yes, registered under the customers name",yes
652,0 <= ... <200 DM,12,existing credits paid back duly till now,furniture/equipment,1922,... <100 DM,1<= ... < 4 years,4,single,none,2,building society savings agreement,37,none,own,1,unskilled - resident,1,none,yes
653,... <0 DM,24,existing credits paid back duly till now,car (new),2303,... <100 DM,.. >= 7 years,4,single,co-applicant,1,real estate,45,none,own,1,skilled employee / official,1,none,yes
654,0 <= ... <200 DM,36,delay in paying off in the past,car (new),8086,100 <= ... <500 DM,.. >= 7 years,2,single,none,4,"car or other, not in attribute 6",42,none,own,4,management/ self-employed,1,"yes, registered under the customers name",yes
